dataset,lang,path,actor_id,gender,emotion,statement_id
esd,en,./dataset/eng/ESD/0015/Happy/0015_000941.wav,15,f,2,241
ravdess,en,./dataset/eng/RAVDESS/happy_ravdess_05_M_03-01-03-01-02-02-05.wav,5,m,2,2
esd,en,./dataset/eng/ESD/0016/Happy/0016_000726.wav,16,f,2,26
esd,en,./dataset/eng/ESD/0011/Angry/0011_000507.wav,11,m,1,157
esd,en,./dataset/eng/ESD/0019/Happy/0019_000963.wav,19,m,2,263
esd,en,./dataset/eng/ESD/0012/Happy/0012_000769.wav,12,f,2,69
cafe,fr,./dataset/fr/CaFe/Colère/Fort/06-C-2-4.wav,6,f,1,4
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000131.wav,17,f,0,131
esd,en,./dataset/eng/ESD/0013/Sad/0013_001216.wav,13,m,3,166
esd,en,./dataset/eng/ESD/0011/Happy/0011_000863.wav,11,m,2,163
esd,en,./dataset/eng/ESD/0018/Sad/0018_001152.wav,18,f,3,102
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000169.wav,13,m,0,169
esd,en,./dataset/eng/ESD/0017/Sad/0017_001327.wav,17,f,3,277
esd,en,./dataset/eng/ESD/0015/Angry/0015_000511.wav,15,f,1,161
cafe,fr,./dataset/fr/CaFe/Neutre/02-N-1-2.wav,2,f,0,2
esd,en,./dataset/eng/ESD/0013/Angry/0013_000512.wav,13,m,1,162
esd,en,./dataset/eng/ESD/0014/Sad/0014_001162.wav,14,m,3,112
esd,en,./dataset/eng/ESD/0014/Sad/0014_001093.wav,14,m,3,43
esd,en,./dataset/eng/ESD/0016/Sad/0016_001309.wav,16,f,3,259
esd,en,./dataset/eng/ESD/0019/Angry/0019_000584.wav,19,m,1,234
esd,en,./dataset/eng/ESD/0011/Happy/0011_000879.wav,11,m,2,179
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000329.wav,12,f,0,329
esd,en,./dataset/eng/ESD/0019/Happy/0019_000949.wav,19,m,2,249
cafe,fr,./dataset/fr/CaFe/Joie/Fort/01-J-2-4.wav,1,m,2,4
esd,en,./dataset/eng/ESD/0017/Sad/0017_001141.wav,17,f,3,91
savee,en,./dataset/eng/SAVEE/anger_savee_03_M_a07.wav,3,m,1,07
esd,en,./dataset/eng/ESD/0012/Angry/0012_000483.wav,12,f,1,133
esd,en,./dataset/eng/ESD/0018/Angry/0018_000616.wav,18,f,1,266
esd,en,./dataset/eng/ESD/0013/Sad/0013_001395.wav,13,m,3,345
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000260.wav,18,f,0,260
esd,en,./dataset/eng/ESD/0015/Happy/0015_000971.wav,15,f,2,271
esd,en,./dataset/eng/ESD/0013/Sad/0013_001392.wav,13,m,3,342
esd,en,./dataset/eng/ESD/0013/Angry/0013_000396.wav,13,m,1,46
ravdess,en,./dataset/eng/RAVDESS/sad_ravdess_22_F_03-01-04-01-01-01-22.wav,22,f,3,1
esd,en,./dataset/eng/ESD/0020/Sad/0020_001093.wav,20,m,3,43
esd,en,./dataset/eng/ESD/0014/Happy/0014_000903.wav,14,m,2,203
ravdess,en,./dataset/eng/RAVDESS/anger_ravdess_07_M_03-01-05-02-02-01-07.wav,7,m,1,2
esd,en,./dataset/eng/ESD/0017/Happy/0017_000720.wav,17,f,2,20
esd,en,./dataset/eng/ESD/0018/Happy/0018_000924.wav,18,f,2,224
esd,en,./dataset/eng/ESD/0018/Angry/0018_000484.wav,18,f,1,134
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000062.wav,13,m,0,62
ravdess,en,./dataset/eng/RAVDESS/happy_ravdess_19_M_03-01-03-02-02-01-19.wav,19,m,2,2
esd,en,./dataset/eng/ESD/0014/Sad/0014_001383.wav,14,m,3,333
esd,en,./dataset/eng/ESD/0015/Happy/0015_000707.wav,15,f,2,7
ravdess,en,./dataset/eng/RAVDESS/neutral_ravdess_14_F_03-01-01-01-02-02-14.wav,14,f,0,2
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000015.wav,12,f,0,15
esd,en,./dataset/eng/ESD/0017/Sad/0017_001075.wav,17,f,3,25
esd,en,./dataset/eng/ESD/0013/Angry/0013_000697.wav,13,m,1,347
emovo,it,./dataset/ita/EMOVO/happy_emovo_03_M_gio-m3-n5.wav,m3,m,2,n5
esd,en,./dataset/eng/ESD/0020/Neutral/0020_000029.wav,20,m,0,29
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000328.wav,13,m,0,328
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000300.wav,13,m,0,300
esd,en,./dataset/eng/ESD/0011/Angry/0011_000599.wav,11,m,1,249
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000326.wav,13,m,0,326
esd,en,./dataset/eng/ESD/0017/Happy/0017_000840.wav,17,f,2,140
esd,en,./dataset/eng/ESD/0011/Sad/0011_001364.wav,11,m,3,314
esd,en,./dataset/eng/ESD/0012/Sad/0012_001229.wav,12,f,3,179
emovo,it,./dataset/ita/EMOVO/happy_emovo_03_M_gio-m3-l3.wav,m3,m,2,l3
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000029.wav,14,m,0,29
esd,en,./dataset/eng/ESD/0017/Angry/0017_000533.wav,17,f,1,183
esd,en,./dataset/eng/ESD/0016/Sad/0016_001283.wav,16,f,3,233
esd,en,./dataset/eng/ESD/0011/Angry/0011_000680.wav,11,m,1,330
esd,en,./dataset/eng/ESD/0012/Sad/0012_001162.wav,12,f,3,112
esd,en,./dataset/eng/ESD/0020/Happy/0020_000782.wav,20,m,2,82
esd,en,./dataset/eng/ESD/0017/Sad/0017_001080.wav,17,f,3,30
esd,en,./dataset/eng/ESD/0016/Angry/0016_000362.wav,16,f,1,12
esd,en,./dataset/eng/ESD/0020/Sad/0020_001174.wav,20,m,3,124
esd,en,./dataset/eng/ESD/0016/Neutral/0016_000088.wav,16,f,0,88
esd,en,./dataset/eng/ESD/0020/Happy/0020_000798.wav,20,m,2,98
esd,en,./dataset/eng/ESD/0017/Sad/0017_001359.wav,17,f,3,309
esd,en,./dataset/eng/ESD/0013/Angry/0013_000604.wav,13,m,1,254
esd,en,./dataset/eng/ESD/0018/Sad/0018_001228.wav,18,f,3,178
esd,en,./dataset/eng/ESD/0020/Happy/0020_000828.wav,20,m,2,128
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000128.wav,13,m,0,128
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000349.wav,18,f,0,349
esd,en,./dataset/eng/ESD/0020/Sad/0020_001190.wav,20,m,3,140
esd,en,./dataset/eng/ESD/0018/Angry/0018_000517.wav,18,f,1,167
esd,en,./dataset/eng/ESD/0017/Angry/0017_000573.wav,17,f,1,223
esd,en,./dataset/eng/ESD/0018/Sad/0018_001162.wav,18,f,3,112
esd,en,./dataset/eng/ESD/0016/Happy/0016_000788.wav,16,f,2,88
esd,en,./dataset/eng/ESD/0018/Happy/0018_000785.wav,18,f,2,85
esd,en,./dataset/eng/ESD/0015/Happy/0015_001022.wav,15,f,2,322
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000299.wav,12,f,0,299
esd,en,./dataset/eng/ESD/0012/Angry/0012_000539.wav,12,f,1,189
esd,en,./dataset/eng/ESD/0020/Neutral/0020_000098.wav,20,m,0,98
esd,en,./dataset/eng/ESD/0013/Happy/0013_000996.wav,13,m,2,296
esd,en,./dataset/eng/ESD/0020/Happy/0020_000873.wav,20,m,2,173
esd,en,./dataset/eng/ESD/0012/Sad/0012_001396.wav,12,f,3,346
esd,en,./dataset/eng/ESD/0015/Happy/0015_000731.wav,15,f,2,31
esd,en,./dataset/eng/ESD/0020/Happy/0020_000958.wav,20,m,2,258
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000125.wav,13,m,0,125
esd,en,./dataset/eng/ESD/0012/Happy/0012_000861.wav,12,f,2,161
esd,en,./dataset/eng/ESD/0015/Angry/0015_000377.wav,15,f,1,27
esd,en,./dataset/eng/ESD/0018/Happy/0018_001012.wav,18,f,2,312
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000216.wav,17,f,0,216
esd,en,./dataset/eng/ESD/0019/Sad/0019_001220.wav,19,m,3,170
esd,en,./dataset/eng/ESD/0018/Sad/0018_001100.wav,18,f,3,50
esd,en,./dataset/eng/ESD/0013/Happy/0013_000985.wav,13,m,2,285
esd,en,./dataset/eng/ESD/0020/Happy/0020_000869.wav,20,m,2,169
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000090.wav,18,f,0,90
esd,en,./dataset/eng/ESD/0011/Sad/0011_001389.wav,11,m,3,339
esd,en,./dataset/eng/ESD/0019/Neutral/0019_000197.wav,19,m,0,197
ravdess,en,./dataset/eng/RAVDESS/happy_ravdess_04_F_03-01-03-02-01-02-04.wav,4,f,2,1
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000306.wav,12,f,0,306
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000074.wav,15,f,0,74
esd,en,./dataset/eng/ESD/0019/Sad/0019_001398.wav,19,m,3,348
esd,en,./dataset/eng/ESD/0017/Sad/0017_001197.wav,17,f,3,147
esd,en,./dataset/eng/ESD/0016/Happy/0016_000759.wav,16,f,2,59
esd,en,./dataset/eng/ESD/0014/Happy/0014_000762.wav,14,m,2,62
esd,en,./dataset/eng/ESD/0020/Sad/0020_001329.wav,20,m,3,279
esd,en,./dataset/eng/ESD/0020/Angry/0020_000696.wav,20,m,1,346
esd,en,./dataset/eng/ESD/0018/Sad/0018_001063.wav,18,f,3,13
emovo,it,./dataset/ita/EMOVO/neutral_emovo_03_M_neu-m3-n2.wav,m3,m,0,n2
esd,en,./dataset/eng/ESD/0019/Angry/0019_000424.wav,19,m,1,74
esd,en,./dataset/eng/ESD/0013/Happy/0013_000791.wav,13,m,2,91
esd,en,./dataset/eng/ESD/0016/Angry/0016_000617.wav,16,f,1,267
esd,en,./dataset/eng/ESD/0012/Angry/0012_000469.wav,12,f,1,119
esd,en,./dataset/eng/ESD/0015/Angry/0015_000665.wav,15,f,1,315
esd,en,./dataset/eng/ESD/0020/Angry/0020_000365.wav,20,m,1,15
emovo,it,./dataset/ita/EMOVO/sad_emovo_06_F_tri-f3-l2.wav,f3,f,3,l2
esd,en,./dataset/eng/ESD/0015/Sad/0015_001353.wav,15,f,3,303
esd,en,./dataset/eng/ESD/0015/Angry/0015_000375.wav,15,f,1,25
esd,en,./dataset/eng/ESD/0017/Happy/0017_000859.wav,17,f,2,159
esd,en,./dataset/eng/ESD/0014/Angry/0014_000683.wav,14,m,1,333
esd,en,./dataset/eng/ESD/0011/Neutral/0011_000185.wav,11,m,0,185
esd,en,./dataset/eng/ESD/0017/Angry/0017_000527.wav,17,f,1,177
esd,en,./dataset/eng/ESD/0019/Happy/0019_000866.wav,19,m,2,166
esd,en,./dataset/eng/ESD/0018/Angry/0018_000410.wav,18,f,1,60
esd,en,./dataset/eng/ESD/0012/Sad/0012_001367.wav,12,f,3,317
savee,en,./dataset/eng/SAVEE/neutral_savee_03_M_n22.wav,3,m,0,22
esd,en,./dataset/eng/ESD/0018/Happy/0018_000790.wav,18,f,2,90
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000308.wav,13,m,0,308
esd,en,./dataset/eng/ESD/0017/Angry/0017_000691.wav,17,f,1,341
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000229.wav,15,f,0,229
esd,en,./dataset/eng/ESD/0011/Sad/0011_001165.wav,11,m,3,115
esd,en,./dataset/eng/ESD/0011/Sad/0011_001063.wav,11,m,3,13
esd,en,./dataset/eng/ESD/0017/Angry/0017_000433.wav,17,f,1,83
esd,en,./dataset/eng/ESD/0018/Happy/0018_000706.wav,18,f,2,6
esd,en,./dataset/eng/ESD/0016/Happy/0016_001048.wav,16,f,2,348
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000319.wav,15,f,0,319
esd,en,./dataset/eng/ESD/0016/Neutral/0016_000053.wav,16,f,0,53
esd,en,./dataset/eng/ESD/0016/Angry/0016_000465.wav,16,f,1,115
esd,en,./dataset/eng/ESD/0014/Sad/0014_001205.wav,14,m,3,155
esd,en,./dataset/eng/ESD/0016/Sad/0016_001146.wav,16,f,3,96
esd,en,./dataset/eng/ESD/0011/Happy/0011_001040.wav,11,m,2,340
esd,en,./dataset/eng/ESD/0020/Sad/0020_001262.wav,20,m,3,212
esd,en,./dataset/eng/ESD/0013/Happy/0013_000995.wav,13,m,2,295
esd,en,./dataset/eng/ESD/0020/Happy/0020_000879.wav,20,m,2,179
esd,en,./dataset/eng/ESD/0015/Angry/0015_000481.wav,15,f,1,131
esd,en,./dataset/eng/ESD/0011/Sad/0011_001381.wav,11,m,3,331
esd,en,./dataset/eng/ESD/0011/Happy/0011_000769.wav,11,m,2,69
ravdess,en,./dataset/eng/RAVDESS/anger_ravdess_14_F_03-01-05-01-02-01-14.wav,14,f,1,2
esd,en,./dataset/eng/ESD/0017/Happy/0017_000993.wav,17,f,2,293
esd,en,./dataset/eng/ESD/0017/Sad/0017_001298.wav,17,f,3,248
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000011.wav,17,f,0,11
esd,en,./dataset/eng/ESD/0014/Sad/0014_001086.wav,14,m,3,36
esd,en,./dataset/eng/ESD/0017/Sad/0017_001118.wav,17,f,3,68
esd,en,./dataset/eng/ESD/0019/Happy/0019_000937.wav,19,m,2,237
esd,en,./dataset/eng/ESD/0019/Happy/0019_000930.wav,19,m,2,230
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000221.wav,15,f,0,221
esd,en,./dataset/eng/ESD/0019/Sad/0019_001115.wav,19,m,3,65
esd,en,./dataset/eng/ESD/0017/Angry/0017_000459.wav,17,f,1,109
esd,en,./dataset/eng/ESD/0012/Neutral/0012_000056.wav,12,f,0,56
esd,en,./dataset/eng/ESD/0013/Sad/0013_001233.wav,13,m,3,183
esd,en,./dataset/eng/ESD/0012/Happy/0012_000940.wav,12,f,2,240
ecarini,it,./dataset/ita/ECARINI/anger_ecarini_01_M_Il_colombre_par14.wav,1,m,1,14
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000190.wav,14,m,0,190
esd,en,./dataset/eng/ESD/0012/Happy/0012_001024.wav,12,f,2,324
esd,en,./dataset/eng/ESD/0012/Happy/0012_000941.wav,12,f,2,241
ecarini,it,./dataset/ita/ECARINI/sad_ecarini_01_M_Il_colombre_par41.wav,1,m,3,41
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000034.wav,18,f,0,34
esd,en,./dataset/eng/ESD/0020/Angry/0020_000581.wav,20,m,1,231
ravdess,en,./dataset/eng/RAVDESS/neutral_ravdess_06_F_03-01-01-01-02-01-06.wav,6,f,0,2
esd,en,./dataset/eng/ESD/0012/Angry/0012_000532.wav,12,f,1,182
esd,en,./dataset/eng/ESD/0019/Angry/0019_000512.wav,19,m,1,162
esd,en,./dataset/eng/ESD/0012/Angry/0012_000675.wav,12,f,1,325
esd,en,./dataset/eng/ESD/0015/Neutral/0015_000300.wav,15,f,0,300
esd,en,./dataset/eng/ESD/0017/Neutral/0017_000079.wav,17,f,0,79
esd,en,./dataset/eng/ESD/0011/Angry/0011_000641.wav,11,m,1,291
esd,en,./dataset/eng/ESD/0014/Sad/0014_001182.wav,14,m,3,132
esd,en,./dataset/eng/ESD/0019/Sad/0019_001344.wav,19,m,3,294
esd,en,./dataset/eng/ESD/0014/Neutral/0014_000184.wav,14,m,0,184
esd,en,./dataset/eng/ESD/0013/Neutral/0013_000018.wav,13,m,0,18
emovo,it,./dataset/ita/EMOVO/neutral_emovo_05_F_neu-f2-l1.wav,f2,f,0,l1
esd,en,./dataset/eng/ESD/0012/Happy/0012_000987.wav,12,f,2,287
esd,en,./dataset/eng/ESD/0011/Neutral/0011_000145.wav,11,m,0,145
esd,en,./dataset/eng/ESD/0018/Neutral/0018_000212.wav,18,f,0,212
esd,en,./dataset/eng/ESD/0018/Sad/0018_001396.wav,18,f,3,346
esd,en,./dataset/eng/ESD/0020/Sad/0020_001353.wav,20,m,3,303
